tripduration,starttime,stoptime,startStationId,startStationName,startStationLatitude,startStationLongitude,endStationId,endStationName,endStationLatitude,endStationLongitude,bikeid,name_localizedValue0,usertype,birth year,gender
247,2018-05-01 06:55:46,2018-05-01 06:59:54,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,26216,Annual Membership,Subscriber,1988,1
555,2018-05-01 06:56:20,2018-05-01 07:05:35,3198,Heights Elevator,40.748715945380226,-74.04044330120087,3206,Hilltop,40.7311689,-74.0575736,33560,Annual Membership from Citi Bike App,Subscriber,1992,1
704,2018-05-01 06:58:32,2018-05-01 07:10:17,3213,Van Vorst Park,40.71848892,-74.047726625,3195,Sip Ave,40.73074262530658,-74.06378388404846,33615,Annual Membership,Subscriber,1983,1
340,2018-05-01 06:58:41,2018-05-01 07:04:22,3203,Hamilton Park,40.727595966,-74.044247311,3202,Newport PATH,40.7272235,-74.0337589,29461,Annual Membership,Subscriber,1969,2
305,2018-05-01 06:58:54,2018-05-01 07:04:00,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3205,JC Medical Center,40.71653978099194,-74.0496379137039,26224,Annual Membership,Subscriber,1956,1
245,2018-05-01 06:59:29,2018-05-01 07:03:34,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,29617,FREE Bonus Month with Annual Membership,Subscriber,1991,1
144,2018-05-01 06:59:47,2018-05-01 07:02:11,3481,York St,40.71649,-74.04105,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26269,Annual Membership,Subscriber,1978,1
106,2018-05-01 07:00:29,2018-05-01 07:02:16,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,26281,Annual Membership,Subscriber,1978,2
173,2018-05-01 07:01:14,2018-05-01 07:04:08,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33629,Annual Membership,Subscriber,1975,1
267,2018-05-01 07:01:44,2018-05-01 07:06:11,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33604,Annual Membership,Subscriber,1989,2
128,2018-05-01 07:01:59,2018-05-01 07:04:08,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33607,Annual Membership,Subscriber,1963,1
92,2018-05-01 07:02:07,2018-05-01 07:03:39,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,29577,Annual Membership,Subscriber,1979,1
181,2018-05-01 07:04:07,2018-05-01 07:07:08,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73074262530658,-74.06378388404846,33601,Annual Membership,Subscriber,1977,1
343,2018-05-01 07:05:11,2018-05-01 07:10:55,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,33593,Annual Membership,Subscriber,1979,1
723,2018-05-01 07:05:46,2018-05-01 07:17:49,3196,Riverview Park,40.7443187,-74.0439909,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29529,Annual Membership,Subscriber,1990,1
568,2018-05-01 07:05:53,2018-05-01 07:15:21,3195,Sip Ave,40.73074262530658,-74.06378388404846,3194,McGinley Square,40.7253399253558,-74.06762212514877,33652,Annual Membership,Subscriber,1960,1
254,2018-05-01 07:06:47,2018-05-01 07:11:01,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3279,Dixon Mills,40.721630142638354,-74.04996782541275,29513,Annual Membership,Subscriber,1959,2
178,2018-05-01 07:09:10,2018-05-01 07:12:08,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29569,$25 Off Annual Membership,Subscriber,1977,2
151,2018-05-01 07:09:21,2018-05-01 07:11:52,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29231,Annual Membership,Subscriber,1981,1
397,2018-05-01 07:10:27,2018-05-01 07:17:04,3639,Harborside,40.7192517,-74.034234,3205,JC Medical Center,40.71653978099194,-74.0496379137039,26256,Annual Membership,Subscriber,1990,1
273,2018-05-01 07:10:34,2018-05-01 07:15:07,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074262530658,-74.06378388404846,26172,$25 Off Annual Membership,Subscriber,1989,1
223,2018-05-01 07:10:45,2018-05-01 07:14:29,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33635,Annual Membership,Subscriber,1973,1
154,2018-05-01 07:12:51,2018-05-01 07:15:26,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,29515,Annual Membership,Subscriber,1984,1
300,2018-05-01 07:13:27,2018-05-01 07:18:28,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29242,Annual Membership,Subscriber,1956,1
699,2018-05-01 07:13:50,2018-05-01 07:25:29,3196,Riverview Park,40.7443187,-74.0439909,3202,Newport PATH,40.7272235,-74.0337589,29214,$25 Off Annual Membership,Subscriber,1994,1
323,2018-05-01 07:13:57,2018-05-01 07:19:21,3203,Hamilton Park,40.727595966,-74.044247311,3187,Warren St,40.7211236,-74.03805095,33659,Annual Membership,Subscriber,1971,1
855,2018-05-01 07:14:14,2018-05-01 07:28:29,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3267,Morris Canal,40.7124188237569,-74.03852552175522,33569,Annual Membership,Subscriber,1984,1
330,2018-05-01 07:14:48,2018-05-01 07:20:19,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33654,Annual Membership,Subscriber,1987,2
194,2018-05-01 07:15:35,2018-05-01 07:18:50,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29446,Annual Membership,Subscriber,1977,1
437,2018-05-01 07:15:49,2018-05-01 07:23:06,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33650,FREE Bonus Month with Annual Membership,Subscriber,1985,1
228,2018-05-01 07:17:01,2018-05-01 07:20:49,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3214,Essex Light Rail,40.7127742,-74.0364857,29231,Annual Membership,Subscriber,1978,1
